driver_id,name,city,gender,vehicle_id,join_date,avg_rating
D0131,Alisha Karpe,Pune,M,V0148,2024-12-18,4.28
D0132,Yuvaan Barad,Chennai,F,V0058,2025-07-17,4.6
D0133,Bhavin Koshy,Pune,F,V0080,2024-04-01,4.53
D0134,Alisha Krishna,Mumbai,M,V0287,2024-08-25,4.87
D0135,Vritika Grover,Kolkata,M,V0146,2025-03-25,4.26
D0136,Anya Kalita,Mumbai,M,V0081,2025-09-02,4.73
D0137,Zoya Bhatt,Bangalore,F,V0259,2025-03-14,4.43
D0138,Akarsh Desai,Delhi,F,V0027,2025-05-16,4.08
D0139,Reyansh Edwin,Mumbai,M,V0084,2025-11-02,4.83
D0140,Bhamini Raman,Ahmedabad,F,V0051,2024-05-06,4.78
D0141,Vaibhav Sawhney,Ahmedabad,F,V0240,2025-08-25,4.4
D0142,Nishith Dua,Hyderabad,F,V0264,2025-02-24,4.76
D0143,Zara Sharaf,Chennai,M,V0084,2025-06-29,4.6
D0144,Nishith Sura,Bangalore,F,V0105,2025-08-10,4.67
D0145,Shayak Agate,Pune,F,V0195,2023-12-31,4.31
D0146,Shanaya Bir,Kolkata,F,V0269,2025-05-16,4.44
D0147,Mohanlal Chadha,Ahmedabad,F,V0153,2024-11-13,4.76
D0148,Krish Issac,Delhi,F,V0095,2024-03-03,4.93
D0149,Jayesh Butala,Ahmedabad,M,V0192,2024-09-15,4.58
D0150,Saira Devan,Delhi,F,V0102,2025-01-08,4.6
D0151,Mehul Chahal,Pune,F,V0270,2025-05-25,4.87
D0152,Pari Bajaj,Chennai,M,V0015,2025-05-28,4.89
D0153,Yasmin Barad,Kolkata,F,V0279,2024-12-11,4.26
D0154,Yuvaan Sanghvi,Hyderabad,M,V0064,2024-02-09,4.84
D0155,Amani Chad,Ahmedabad,F,V0272,2025-01-08,4.67
D0156,Arnav Saha,Delhi,F,V0033,2023-11-14,4.91
D0157,Nirvaan Taneja,Delhi,M,V0217,2024-01-17,4.51
D0158,Lakshit Deshpande,Chennai,M,V0266,2025-02-28,4.5
D0159,Dishani Bhalla,Bangalore,M,V0080,2024-06-07,4.75
D0160,Pranay Batra,Chennai,F,V0102,2024-08-09,4.29
D0161,Heer Ramaswamy,Hyderabad,F,V0095,2025-07-19,4.38
D0162,Gatik Subramaniam,Mumbai,M,V0020,2024-10-10,4.7
D0163,Darshit Devi,Chennai,F,V0286,2023-12-19,4.6
D0164,Elakshi Tandon,Kolkata,M,V0146,2024-09-10,4.71
D0165,Kashvi Sarna,Delhi,M,V0010,2024-02-16,4.42
D0166,Nirvaan Barman,Pune,F,V0279,2025-11-04,4.98
D0167,Indranil Dasgupta,Mumbai,F,V0088,2024-07-20,4.83
D0168,Nirvaan Uppal,Ahmedabad,F,V0007,2024-11-17,4.48
D0169,Krish Vora,Pune,M,V0019,2025-09-15,5.0
D0170,Miraya Wable,Ahmedabad,M,V0132,2024-05-16,4.83
D0171,Aradhya Borah,Mumbai,M,V0263,2025-09-05,4.33
D0172,Drishya Bala,Kolkata,F,V0198,2025-04-21,4.38
D0173,Mishti Tandon,Bangalore,F,V0188,2024-01-26,4.95
D0174,Shanaya Kota,Hyderabad,F,V0148,2024-06-06,4.5
D0175,Rania Chana,Bangalore,F,V0202,2024-01-09,4.44
D0176,Nayantara Upadhyay,Pune,F,V0141,2024-07-19,4.16
D0177,Raunak Shukla,Kolkata,F,V0028,2024-01-10,4.77
D0178,Jiya Sekhon,Bangalore,M,V0112,2024-06-24,4.92
D0179,Aaryahi Chaudhry,Ahmedabad,M,V0299,2025-09-30,4.32
D0180,Kimaya Thaman,Pune,M,V0172,2025-02-26,3.87
D0181,Shanaya Baral,Bangalore,F,V0222,2024-01-08,4.75
D0182,Romil Dani,Chennai,F,V0120,2025-10-07,4.63
D0183,Vaibhav Khatri,Bangalore,M,V0231,2024-08-05,4.24
D0184,Keya Devan,Hyderabad,M,V0077,2023-11-17,4.86
D0185,Nitya Chand,Chennai,F,V0053,2024-10-12,4.8
D0186,Vaibhav Sani,Bangalore,M,V0257,2025-01-19,4.96
D0187,Sumer Comar,Delhi,M,V0192,2024-05-12,4.44
D0188,Sumer Thaker,Kolkata,F,V0074,2024-09-14,4.11
D0189,Aniruddh Loyal,Pune,F,V0025,2023-12-09,4.65
D0190,Badal Karan,Mumbai,F,V0066,2025-09-09,4.64
D0191,Ranbir Sarkar,Bangalore,F,V0050,2025-04-30,4.97
D0192,Tanya Mand,Kolkata,F,V0070,2024-03-14,4.46
D0193,Lakshit Vyas,Hyderabad,F,V0157,2024-09-18,4.34
D0194,Aarush Dar,Delhi,F,V0057,2025-08-25,4.97
D0195,Dishani Shah,Ahmedabad,M,V0247,2024-02-16,4.45
D0196,Pari Chakrabarti,Pune,M,V0174,2025-05-03,4.85
D0197,Kismat Raval,Pune,F,V0172,2024-09-01,4.32
D0198,Rati Subramaniam,Hyderabad,F,V0010,2025-04-19,5.0
D0199,Ivan Rana,Chennai,M,V0282,2024-06-09,4.96
D0200,Amira Gour,Bangalore,F,V0014,2025-09-12,4.17
D0201,Indrajit Sarna,Bangalore,M,V0211,2024-06-13,4.13
D0202,Hridaan Setty,Hyderabad,M,V0043,2025-03-13,4.57
D0203,Dhanuk Bala,Pune,M,V0233,2023-11-18,4.28
D0204,Anahi Bawa,Mumbai,M,V0191,2024-10-09,4.6
D0205,Himmat Dasgupta,Bangalore,M,V0166,2025-03-14,3.95
D0206,Amira Baral,Delhi,M,V0214,2024-03-16,4.39
D0207,Shamik Samra,Pune,M,V0110,2024-03-19,4.68
D0208,Baiju Sankaran,Hyderabad,F,V0024,2025-02-14,4.95
D0209,Aayush Kari,Mumbai,M,V0239,2023-11-13,4.37
D0210,Taran Sane,Chennai,M,V0295,2024-07-19,4.44
D0211,Azad Dixit,Bangalore,M,V0150,2025-05-17,4.45
D0212,Khushi Chopra,Mumbai,M,V0161,2025-02-14,4.25
D0213,Madhup Zachariah,Pune,M,V0009,2024-10-12,4.56
D0214,Anaya Saran,Pune,M,V0186,2024-05-30,4.63
D0215,Emir Suri,Mumbai,F,V0188,2025-09-12,4.35
D0216,Ishita Srivastava,Hyderabad,M,V0188,2025-02-16,4.65
D0217,Dhanush Mahal,Kolkata,M,V0289,2024-08-22,4.99
D0218,Jiya Kumar,Bangalore,F,V0221,2025-06-28,4.92
D0219,Ishaan Borde,Ahmedabad,F,V0063,2024-10-04,5.0
D0220,Prisha Kaul,Bangalore,F,V0088,2025-03-21,4.26
D0221,Kiaan Mahajan,Delhi,M,V0220,2024-10-14,4.38
D0222,Rati Rastogi,Chennai,F,V0051,2025-03-12,4.3
D0223,Miraan Dhawan,Hyderabad,M,V0299,2025-07-27,4.41
D0224,Mamooty Keer,Ahmedabad,F,V0019,2024-06-20,4.53
D0225,Mamooty Kant,Kolkata,M,V0106,2025-10-28,4.53
D0226,Miraan Deol,Ahmedabad,F,V0183,2025-05-04,4.02
D0227,Yuvaan Choudhary,Bangalore,M,V0128,2024-01-14,4.7
D0228,Adah Venkatesh,Pune,M,V0124,2025-06-17,4.29
D0229,Saanvi Balakrishnan,Bangalore,M,V0266,2025-03-20,5.0
D0230,Aarna Dey,Chennai,F,V0052,2023-12-26,4.48
D0231,Lavanya Gulati,Kolkata,F,V0107,2025-02-11,5.0
D0232,Shaan Srinivasan,Ahmedabad,F,V0160,2024-02-22,4.23
D0233,Advika Borra,Bangalore,M,V0240,2024-08-12,4.34
D0234,Madhup Vora,Delhi,F,V0158,2025-09-12,4.72
D0235,Anahita Koshy,Ahmedabad,M,V0044,2024-03-10,4.43
D0236,Drishya Banerjee,Kolkata,F,V0150,2024-11-21,4.19
D0237,Damini Raja,Ahmedabad,F,V0023,2025-05-09,3.75
D0238,Mishti Jha,Kolkata,M,V0110,2024-02-17,4.4
D0239,Shanaya Seth,Pune,F,V0038,2025-10-03,4.04
D0240,Yakshit Ghose,Pune,F,V0011,2025-09-22,4.75
D0241,Anahita Magar,Pune,M,V0277,2025-03-11,4.71
D0242,Oorja Dube,Ahmedabad,M,V0221,2025-03-23,4.38
D0243,Riaan Mandal,Bangalore,M,V0114,2025-05-20,3.87
D0244,Mamooty Goda,Bangalore,F,V0244,2024-09-07,4.9
D0245,Darshit Garde,Bangalore,F,V0172,2024-10-25,4.3
D0246,Zoya Shan,Mumbai,M,V0079,2024-10-26,4.93
D0247,Lagan Sami,Pune,M,V0258,2023-11-27,4.21
D0248,Pari Ravel,Kolkata,F,V0124,2024-02-26,4.61
D0249,Saira Ramaswamy,Kolkata,M,V0290,2025-08-15,4.12
D0250,Myra Thaman,Chennai,F,V0028,2025-10-31,4.61
D0251,Reyansh Kar,Pune,M,V0041,2025-01-14,4.43
D0252,Dhruv Edwin,Delhi,M,V0093,2024-11-01,4.35
D0253,Nirvaan Rajagopal,Ahmedabad,M,V0158,2025-04-07,4.78
D0254,Umang D’Alia,Bangalore,F,V0110,2024-12-20,4.97
D0255,Umang Vyas,Pune,M,V0104,2024-07-28,4.8
D0256,Mannat Ram,Chennai,M,V0211,2024-04-25,4.91
D0257,Elakshi Randhawa,Kolkata,M,V0127,2025-02-14,4.86
D0258,Tanya Gulati,Chennai,M,V0078,2025-10-13,4.21
D0259,Emir Chada,Mumbai,F,V0239,2024-06-23,4.43
D0260,Himmat Dhaliwal,Chennai,F,V0070,2025-03-14,4.43
D0261,Lavanya Sandal,Pune,M,V0214,2024-10-18,4.42
D0262,Kaira Dugar,Mumbai,M,V0293,2024-02-14,3.97
D0263,Yakshit Mall,Kolkata,M,V0248,2024-10-28,4.1
D0264,Navya Gaba,Mumbai,M,V0097,2025-10-19,3.74
D0265,Ira Batra,Bangalore,M,V0120,2025-02-23,4.52
D0266,Himmat Bava,Kolkata,F,V0133,2024-02-15,4.27
D0267,Vedika Dara,Ahmedabad,F,V0115,2025-05-31,4.34
D0268,Shayak Choudhry,Mumbai,F,V0271,2024-01-15,4.64
D0269,Lakshit Chakraborty,Chennai,F,V0140,2024-06-08,4.66
D0270,Farhan Khare,Bangalore,M,V0127,2024-08-28,5.0
D0271,Kaira Bhagat,Mumbai,M,V0166,2025-06-15,4.44
D0272,Pranay Ganguly,Hyderabad,M,V0288,2025-08-25,4.75
D0273,Fateh Sengupta,Chennai,F,V0261,2024-09-07,4.87
D0274,Jayan Kohli,Kolkata,F,V0024,2024-11-25,4.55
D0275,Neysa Dass,Ahmedabad,F,V0051,2025-09-22,4.39
D0276,Pari Goyal,Chennai,M,V0012,2024-03-03,4.74
D0277,Yashvi Choudhary,Bangalore,F,V0084,2024-05-28,4.33
D0278,Tejas Kata,Kolkata,M,V0214,2025-05-14,4.4
D0279,Nakul Malhotra,Chennai,F,V0029,2024-05-23,4.24
D0280,Aaina Bawa,Chennai,M,V0047,2025-05-10,4.96
D0281,Pranay Sengupta,Delhi,F,V0294,2025-04-09,4.39
D0282,Zoya Kari,Hyderabad,M,V0148,2024-05-23,4.46
D0283,Ranbir Kata,Delhi,F,V0090,2023-12-06,4.81
D0284,Jhanvi Dhillon,Delhi,M,V0175,2025-10-07,4.45
D0285,Ahana  Maharaj,Chennai,F,V0054,2025-04-21,4.38
D0286,Ahana  Ramaswamy,Pune,M,V0092,2024-12-25,4.77
D0287,Anahita Sem,Hyderabad,F,V0078,2025-05-15,4.61
D0288,Amani Goda,Kolkata,M,V0214,2024-12-26,4.36
D0289,Rhea Chana,Mumbai,F,V0187,2024-01-23,4.8
D0290,Anay Zacharia,Delhi,F,V0102,2024-08-13,4.2
D0291,Hunar Chad,Bangalore,F,V0051,2023-12-02,4.88
D0292,Yasmin Dugar,Hyderabad,F,V0194,2024-03-08,3.89
D0293,Krish Chana,Hyderabad,F,V0198,2024-01-30,4.43
D0294,Madhup Loke,Bangalore,F,V0133,2025-04-07,4.67
D0295,Rati Dara,Kolkata,F,V0002,2024-03-08,4.68
D0296,Yasmin Borra,Kolkata,F,V0067,2024-03-30,4.31
D0297,Shayak Sood,Bangalore,F,V0282,2025-01-25,4.26
D0298,Kabir Sanghvi,Hyderabad,F,V0294,2025-04-02,4.46
D0299,Kanav Sagar,Mumbai,F,V0280,2023-12-26,4.5
D0300,Ishaan Gandhi,Pune,M,V0271,2024-10-01,3.76
